exception_id,type,requester,approver,department,justification,start_date,end_date,status,risk_level,review_requested_date
EXC-0193,data_access_exception,infra.team,manager.001,Finance,Short-term fix,2025-12-11,2026-06-21,ACTIVE,HIGH,
EXC-0194,vendor_access_waiver,infra.team,ciso.office,Sales,Database migration support for project 109,2025-11-25,2026-06-05,ACTIVE,HIGH,
EXC-0195,admin_access,carol.taylor,security.lead,Data & Analytics,Disaster recovery drill access,2025-11-23,2026-09-09,ACTIVE,HIGH,
EXC-0196,background_check_pending,dave.lee,bob.jones,Customer Support,Legacy system compatibility during migration to v550,2025-10-11,2025-12-06,ACTIVE,HIGH,
EXC-0197,vendor_access_waiver,mia.clark,manager.001,Operations,Legacy system compatibility during migration to v870,2025-06-17,2025-09-14,REVOKED,HIGH,
EXC-0198,encryption_waiver,jack.lee,manager.001,HR,Quarterly penetration test access window,2026-03-22,2026-09-05,ACTIVE,HIGH,
EXC-0199,firewall_rule_open,paul.kumar,compliance.officer,HR,Production troubleshooting for incident INC-469,2026-03-07,2026-08-09,ACTIVE,MEDIUM,
EXC-0200,encryption_waiver,infra.team,platform.lead,Customer Support,Database migration support for project 888,2025-05-22,2025-06-02,ACTIVE,HIGH,
EXC-0201,admin_access,dev.lead,alice.smith,Security,Disaster recovery drill access,2025-11-17,2026-01-10,ACTIVE,CRITICAL,
EXC-0202,admin_access,quinn.lee,ciso.office,Operations,Operational requirement,2025-07-28,2025-08-30,REVOKED,HIGH,
EXC-0203,admin_access,tom.jones,ciso.office,Security,New hire onboarding pending background check completion,2025-08-18,2026-05-17,ACTIVE,HIGH,
EXC-0204,admin_access,sara.smith,ciso.office,Finance,Short-term fix,2025-06-24,2025-07-09,EXPIRED,HIGH,
EXC-0205,data_access_exception,paul.brown,security.lead,Legal,Legacy issue,2025-06-14,2025-07-01,REVOKED,HIGH,
EXC-0206,data_access_exception,paul.jones,ciso.office,IT Infrastructure,Database migration support for project 566,2025-05-13,2026-06-13,ACTIVE,HIGH,
EXC-0207,dev_environment_exception,qa.team,ciso.office,Operations,Integration with Partner Ltd API gateway,2025-08-09,2025-10-27,EXPIRED,LOW,
EXC-0208,admin_access,john.chen,alice.smith,Data & Analytics,Legacy system compatibility during migration to v283,2026-03-19,2026-05-27,ACTIVE,CRITICAL,
EXC-0209,dev_environment_exception,victor.taylor,manager.001,Legal,Integration with Partner Ltd API gateway,2025-07-05,2026-06-08,ACTIVE,MEDIUM,
EXC-0210,dev_environment_exception,alice.garcia,manager.001,Customer Support,Disaster recovery drill access,2025-09-29,2025-12-27,RENEWAL_REQUESTED,LOW,2025-12-20
EXC-0211,background_check_pending,jack.jones,it.director,Engineering,Quarterly penetration test access window,2025-12-15,2026-05-01,ACTIVE,CRITICAL,
EXC-0212,encryption_waiver,noah.wilson,it.director,Sales,New hire onboarding pending background check completion,2025-04-18,2026-04-21,ACTIVE,HIGH,
EXC-0213,firewall_rule_open,tom.doe,platform.lead,Engineering,Production troubleshooting for incident INC-245,2026-01-18,2026-07-12,ACTIVE,MEDIUM,
EXC-0214,vendor_access_waiver,dev.lead,manager.001,Customer Support,Vendor SOC 2 audit data extraction,2025-11-18,2026-06-01,ACTIVE,CRITICAL,
EXC-0215,admin_access,tom.moore,bob.jones,IT Infrastructure,Disaster recovery drill access,2026-01-09,2026-05-10,ACTIVE,CRITICAL,
EXC-0216,encryption_waiver,security.ops,compliance.officer,Legal,Legacy issue,2025-08-12,2025-09-04,EXPIRED,HIGH,
EXC-0217,firewall_rule_open,ravi.patel,security.lead,Operations,Emergency,2025-12-01,2026-02-21,RENEWAL_REQUESTED,MEDIUM,2025-12-26
EXC-0218,dev_environment_exception,platform.eng,it.director,HR,Production troubleshooting for incident INC-320,2025-11-24,2026-09-02,ACTIVE,LOW,
EXC-0219,background_check_pending,dave.jones,manager.001,Legal,New hire onboarding pending background check completion,2026-01-16,2026-07-10,ACTIVE,MEDIUM,
EXC-0220,admin_access,dave.patel,alice.smith,Engineering,Integration with Partner Ltd API gateway,2025-12-04,2026-08-15,ACTIVE,HIGH,
EXC-0221,dev_environment_exception,bob.doe,bob.jones,Sales,Production troubleshooting for incident INC-272,2025-12-03,2026-05-25,ACTIVE,LOW,
EXC-0222,dev_environment_exception,wendy.moore,it.director,Engineering,Disaster recovery drill access,2025-07-12,2025-08-13,ACTIVE,HIGH,
EXC-0223,firewall_rule_open,release.mgmt,security.lead,Engineering,Emergency,2026-01-15,2026-05-27,ACTIVE,MEDIUM,
EXC-0224,firewall_rule_open,tom.chen,alice.smith,Security,Operational requirement,2025-08-15,2026-12-06,ACTIVE,HIGH,
EXC-0225,admin_access,data.eng,security.lead,Engineering,Temporary issue,2025-09-05,2026-06-10,ACTIVE,HIGH,
EXC-0226,data_access_exception,ravi.chen,security.lead,Operations,Temporary issue,2025-11-19,2026-02-25,RENEWAL_REQUESTED,HIGH,2026-03-13
EXC-0227,encryption_waiver,alice.chen,compliance.officer,Legal,Legacy system compatibility during migration to v280,2025-09-24,2026-07-19,ACTIVE,HIGH,
EXC-0228,encryption_waiver,john.wilson,security.lead,IT Infrastructure,Database migration support for project 655,2025-09-20,2025-10-11,ACTIVE,CRITICAL,
EXC-0229,admin_access,platform.eng,manager.001,Engineering,Vendor SOC 2 audit data extraction,2026-04-07,2026-06-28,ACTIVE,HIGH,
EXC-0230,admin_access,qa.team,bob.jones,Customer Support,Integration with Partner Ltd API gateway,2025-10-23,2025-12-26,EXPIRED,HIGH,
EXC-0231,encryption_waiver,qa.team,security.lead,Security,Database migration support for project 764,2025-09-24,2025-10-30,REVOKED,HIGH,
EXC-0232,admin_access,emma.moore,ciso.office,HR,Short-term fix,2025-11-01,2026-07-24,ACTIVE,HIGH,
EXC-0233,admin_access,security.ops,manager.001,IT Infrastructure,Legacy issue,2025-05-21,2026-05-25,ACTIVE,MEDIUM,
EXC-0234,firewall_rule_open,bob.miller,it.director,Engineering,Temporary issue,2026-03-08,2026-04-15,RENEWAL_REQUESTED,MEDIUM,2026-03-18
EXC-0235,encryption_waiver,ops.team,alice.smith,Engineering,Disaster recovery drill access,2025-11-12,2026-07-16,ACTIVE,HIGH,
EXC-0236,data_access_exception,infra.team,bob.jones,Data & Analytics,New hire onboarding pending background check completion,2025-10-23,2026-01-18,RENEWAL_REQUESTED,HIGH,2025-11-20
EXC-0237,background_check_pending,irene.doe,platform.lead,HR,Business need,2026-01-27,2026-08-21,ACTIVE,MEDIUM,
EXC-0238,encryption_waiver,sara.lewis,alice.smith,Security,Disaster recovery drill access,2026-02-20,2026-06-15,ACTIVE,HIGH,
EXC-0239,vendor_access_waiver,wendy.brown,ciso.office,HR,Legacy issue,2025-07-24,2026-11-28,ACTIVE,HIGH,
EXC-0240,admin_access,irene.lewis,manager.001,Operations,Temporary issue,2025-09-11,2025-10-05,REVOKED,HIGH,
EXC-0241,background_check_pending,infra.team,it.director,Data & Analytics,Quarterly penetration test access window,2025-08-16,2026-05-19,ACTIVE,CRITICAL,
EXC-0242,firewall_rule_open,infra.team,platform.lead,Finance,Short-term fix,2026-02-21,2026-07-31,ACTIVE,MEDIUM,
EXC-0243,vendor_access_waiver,security.ops,compliance.officer,IT Infrastructure,Business need,2025-10-30,2025-12-12,ACTIVE,CRITICAL,
EXC-0244,dev_environment_exception,olivia.chen,it.director,HR,Short-term fix,2025-05-02,2025-07-19,EXPIRED,LOW,
EXC-0245,admin_access,noah.garcia,security.lead,Sales,Legacy system compatibility during migration to v143,2025-11-17,2025-12-11,REVOKED,HIGH,
EXC-0246,firewall_rule_open,tom.lee,ciso.office,Legal,Integration with Partner Ltd API gateway,2025-05-29,2025-07-31,REVOKED,MEDIUM,
EXC-0247,dev_environment_exception,data.eng,it.director,Engineering,Disaster recovery drill access,2025-06-11,2025-07-17,ACTIVE,HIGH,
EXC-0248,firewall_rule_open,ravi.patel,bob.jones,IT Infrastructure,Database migration support for project 685,2026-03-18,2026-06-13,ACTIVE,MEDIUM,
EXC-0249,admin_access,emma.brown,compliance.officer,Finance,Disaster recovery drill access,2025-11-03,2026-05-26,ACTIVE,HIGH,
EXC-0250,vendor_access_waiver,release.mgmt,ciso.office,Legal,New hire onboarding pending background check completion,2026-01-19,2026-06-21,ACTIVE,HIGH,
EXC-0251,encryption_waiver,release.mgmt,platform.lead,HR,Integration with Partner Ltd API gateway,2025-11-27,2026-05-20,ACTIVE,HIGH,
EXC-0252,background_check_pending,olivia.wilson,alice.smith,Customer Support,Integration with Partner Ltd API gateway,2025-09-21,2025-11-15,ACTIVE,CRITICAL,
EXC-0253,firewall_rule_open,paul.doe,security.lead,Sales,New hire onboarding pending background check completion,2025-05-14,2025-06-28,EXPIRED,MEDIUM,
EXC-0254,vendor_access_waiver,security.ops,manager.001,HR,Database migration support for project 617,2025-06-17,2026-04-21,ACTIVE,HIGH,
EXC-0255,firewall_rule_open,release.mgmt,security.lead,Data & Analytics,Vendor SOC 2 audit data extraction,2025-10-08,2025-11-11,REVOKED,MEDIUM,
EXC-0256,vendor_access_waiver,bob.davis,alice.smith,Security,Disaster recovery drill access,2025-12-25,2026-04-23,ACTIVE,HIGH,
EXC-0257,dev_environment_exception,dev.lead,it.director,Finance,Production troubleshooting for incident INC-329,2025-08-22,2025-10-09,ACTIVE,CRITICAL,
EXC-0258,vendor_access_waiver,tom.brown,compliance.officer,Security,Database migration support for project 358,2025-08-04,2025-09-12,ACTIVE,CRITICAL,
EXC-0259,vendor_access_waiver,sara.moore,bob.jones,Engineering,Vendor SOC 2 audit data extraction,2026-03-24,2026-04-16,ACTIVE,HIGH,
EXC-0260,encryption_waiver,henry.brown,ciso.office,Sales,Temporary issue,2025-05-14,2025-08-12,REVOKED,HIGH,
EXC-0261,vendor_access_waiver,qa.team,alice.smith,Data & Analytics,Quarterly penetration test access window,2025-11-08,2026-06-15,ACTIVE,HIGH,
EXC-0262,vendor_access_waiver,platform.eng,platform.lead,Sales,Legacy system compatibility during migration to v400,2026-01-31,2026-05-23,ACTIVE,HIGH,
EXC-0263,admin_access,wendy.brown,security.lead,Legal,New hire onboarding pending background check completion,2025-12-11,2026-02-07,RENEWAL_REQUESTED,HIGH,2026-01-29
EXC-0264,data_access_exception,jack.wilson,ciso.office,IT Infrastructure,Integration with Partner Ltd API gateway,2026-03-01,2026-08-20,ACTIVE,HIGH,
EXC-0265,data_access_exception,paul.patel,compliance.officer,Customer Support,Database migration support for project 246,2025-12-09,2026-07-31,ACTIVE,HIGH,
EXC-0266,encryption_waiver,emma.jones,it.director,Legal,Legacy system compatibility during migration to v601,2025-11-15,2026-08-25,ACTIVE,HIGH,
EXC-0267,background_check_pending,bob.lee,compliance.officer,Security,Database migration support for project 492,2025-04-17,2025-05-05,EXPIRED,MEDIUM,
EXC-0268,admin_access,dev.lead,platform.lead,Customer Support,Short-term fix,2025-08-20,2026-06-03,ACTIVE,HIGH,
EXC-0269,admin_access,ops.team,compliance.officer,Customer Support,Legacy system compatibility during migration to v166,2025-09-14,2026-05-19,ACTIVE,HIGH,
EXC-0270,vendor_access_waiver,paul.miller,compliance.officer,Finance,Legacy system compatibility during migration to v316,2026-01-31,2026-06-18,ACTIVE,HIGH,
EXC-0271,vendor_access_waiver,qa.team,bob.jones,Legal,Production troubleshooting for incident INC-484,2025-08-23,2025-11-13,EXPIRED,HIGH,
EXC-0272,dev_environment_exception,uma.patel,alice.smith,Engineering,New hire onboarding pending background check completion,2026-02-22,2026-07-19,ACTIVE,LOW,
EXC-0273,vendor_access_waiver,john.davis,compliance.officer,Operations,Quarterly penetration test access window,2026-02-27,2026-03-23,ACTIVE,HIGH,
EXC-0274,data_access_exception,carol.patel,ciso.office,Operations,Database migration support for project 303,2025-07-26,2025-09-11,EXPIRED,HIGH,
EXC-0275,encryption_waiver,irene.garcia,alice.smith,Customer Support,Business need,2026-03-04,2026-08-13,ACTIVE,HIGH,
EXC-0276,background_check_pending,olivia.lee,bob.jones,Customer Support,Production troubleshooting for incident INC-202,2025-11-26,2026-06-26,ACTIVE,MEDIUM,
EXC-0277,vendor_access_waiver,dev.lead,ciso.office,Legal,Vendor SOC 2 audit data extraction,2025-06-13,2026-06-13,ACTIVE,HIGH,
EXC-0278,background_check_pending,john.lee,security.lead,Legal,Database migration support for project 736,2025-08-30,2025-09-24,REVOKED,MEDIUM,
EXC-0279,background_check_pending,ops.team,compliance.officer,Security,Legacy system compatibility during migration to v215,2026-02-07,2026-07-01,ACTIVE,MEDIUM,
EXC-0280,firewall_rule_open,alice.garcia,bob.jones,Security,Database migration support for project 921,2026-01-31,2026-04-11,EXPIRED,MEDIUM,
EXC-0281,dev_environment_exception,security.ops,alice.smith,Finance,Database migration support for project 215,2026-03-08,2026-08-20,ACTIVE,CRITICAL,
EXC-0282,data_access_exception,data.eng,platform.lead,Engineering,New hire onboarding pending background check completion,2025-10-05,2025-12-24,EXPIRED,HIGH,
EXC-0283,data_access_exception,grace.lewis,platform.lead,Security,Database migration support for project 972,2026-04-06,2026-04-21,ACTIVE,HIGH,
EXC-0284,data_access_exception,bob.lewis,platform.lead,Sales,Legacy issue,2025-05-10,2025-07-27,EXPIRED,HIGH,
EXC-0285,dev_environment_exception,leo.chen,bob.jones,Data & Analytics,Database migration support for project 190,2025-12-26,2026-03-07,REVOKED,LOW,
EXC-0286,admin_access,wendy.doe,bob.jones,Security,Database migration support for project 449,2025-11-24,2026-04-29,ACTIVE,HIGH,
EXC-0287,encryption_waiver,grace.clark,platform.lead,Customer Support,Vendor SOC 2 audit data extraction,2026-02-02,2026-05-16,ACTIVE,HIGH,
EXC-0288,encryption_waiver,irene.wilson,bob.jones,Engineering,Emergency,2026-02-13,2026-06-13,ACTIVE,HIGH,
EXC-0289,firewall_rule_open,frank.miller,bob.jones,Security,Legacy system compatibility during migration to v610,2026-03-31,2026-06-19,ACTIVE,MEDIUM,
EXC-0290,encryption_waiver,alice.taylor,it.director,Customer Support,Legacy system compatibility during migration to v808,2025-06-19,2026-05-14,ACTIVE,HIGH,
EXC-0291,vendor_access_waiver,jack.moore,compliance.officer,IT Infrastructure,Emergency,2026-01-10,2026-08-31,ACTIVE,HIGH,
EXC-0292,dev_environment_exception,wendy.davis,platform.lead,Customer Support,Short-term fix,2025-12-24,2026-05-08,ACTIVE,LOW,
EXC-0293,vendor_access_waiver,emma.miller,bob.jones,Legal,Emergency,2026-03-17,2026-07-25,ACTIVE,HIGH,
EXC-0294,firewall_rule_open,dev.lead,manager.001,HR,Quarterly penetration test access window,2025-10-06,2026-08-30,ACTIVE,MEDIUM,
EXC-0295,vendor_access_waiver,alice.wilson,it.director,Operations,New hire onboarding pending background check completion,2025-08-14,2026-04-21,ACTIVE,HIGH,
EXC-0296,background_check_pending,victor.davis,alice.smith,Security,Database migration support for project 949,2026-03-22,2026-08-07,ACTIVE,MEDIUM,
EXC-0297,firewall_rule_open,victor.wilson,manager.001,Sales,Integration with Partner Ltd API gateway,2025-10-06,2026-06-01,ACTIVE,MEDIUM,
EXC-0298,data_access_exception,data.eng,ciso.office,Finance,Production troubleshooting for incident INC-892,2025-11-02,2026-06-08,ACTIVE,HIGH,
EXC-0299,vendor_access_waiver,uma.davis,it.director,IT Infrastructure,Integration with Partner Ltd API gateway,2025-09-24,2025-12-14,EXPIRED,HIGH,
EXC-0300,firewall_rule_open,paul.garcia,compliance.officer,Customer Support,Vendor SOC 2 audit data extraction,2026-01-29,2026-05-27,ACTIVE,MEDIUM,
EXC-0301,encryption_waiver,release.mgmt,alice.smith,Operations,Database migration support for project 346,2025-08-17,2025-09-05,REVOKED,HIGH,
EXC-0302,data_access_exception,carol.moore,ciso.office,Customer Support,Production troubleshooting for incident INC-629,2025-10-23,2026-01-10,REVOKED,HIGH,
EXC-0303,data_access_exception,platform.eng,platform.lead,Customer Support,New hire onboarding pending background check completion,2025-12-13,2026-08-13,ACTIVE,HIGH,
EXC-0304,background_check_pending,carol.kumar,compliance.officer,Operations,Legacy system compatibility during migration to v124,2026-01-07,2026-03-20,RENEWAL_REQUESTED,MEDIUM,2026-01-19
EXC-0305,admin_access,qa.team,ciso.office,Customer Support,Temporary issue,2025-08-25,2025-10-30,REVOKED,HIGH,
EXC-0306,data_access_exception,mia.miller,alice.smith,Security,Production troubleshooting for incident INC-756,2026-02-17,2026-03-27,RENEWAL_REQUESTED,HIGH,2026-02-28
EXC-0307,vendor_access_waiver,kelly.patel,ciso.office,HR,Quarterly penetration test access window,2025-11-25,2026-01-26,REVOKED,HIGH,
EXC-0308,background_check_pending,olivia.garcia,manager.001,Finance,Quarterly penetration test access window,2025-06-27,2025-08-18,REVOKED,MEDIUM,
EXC-0309,admin_access,quinn.lee,bob.jones,Engineering,Operational requirement,2025-12-21,2026-03-29,RENEWAL_REQUESTED,HIGH,2026-03-11
EXC-0310,admin_access,security.ops,manager.001,Security,Production troubleshooting for incident INC-971,2025-12-18,2026-06-03,ACTIVE,HIGH,
EXC-0311,background_check_pending,quinn.clark,bob.jones,HR,New hire onboarding pending background check completion,2025-11-26,2026-07-01,ACTIVE,MEDIUM,
EXC-0312,admin_access,ops.team,manager.001,Legal,Vendor SOC 2 audit data extraction,2026-04-07,2026-04-30,ACTIVE,HIGH,
EXC-0313,background_check_pending,infra.team,security.lead,Engineering,Database migration support for project 573,2026-02-20,2026-08-14,ACTIVE,MEDIUM,
EXC-0314,data_access_exception,data.eng,it.director,Customer Support,Legacy system compatibility during migration to v651,2025-09-17,2026-05-16,ACTIVE,HIGH,
EXC-0315,firewall_rule_open,ops.team,bob.jones,Engineering,Production troubleshooting for incident INC-932,2026-02-06,2026-05-05,REVOKED,MEDIUM,
EXC-0316,background_check_pending,alice.brown,it.director,Finance,New hire onboarding pending background check completion,2026-03-09,2026-07-21,ACTIVE,CRITICAL,
EXC-0317,firewall_rule_open,paul.jones,compliance.officer,Legal,New hire onboarding pending background check completion,2026-02-23,2026-04-09,ACTIVE,HIGH,
EXC-0318,data_access_exception,qa.team,it.director,Legal,Vendor SOC 2 audit data extraction,2025-12-30,2026-05-25,ACTIVE,HIGH,
EXC-0319,data_access_exception,noah.smith,alice.smith,Legal,Operational requirement,2025-09-02,2025-10-19,EXPIRED,HIGH,
EXC-0320,data_access_exception,kelly.jones,ciso.office,Security,Production troubleshooting for incident INC-613,2026-03-13,2026-05-05,ACTIVE,HIGH,
EXC-0321,firewall_rule_open,grace.jones,ciso.office,Sales,Integration with Partner Ltd API gateway,2026-02-01,2026-04-15,ACTIVE,MEDIUM,
EXC-0322,data_access_exception,olivia.kumar,security.lead,Security,Operational requirement,2025-12-03,2026-05-23,ACTIVE,HIGH,
EXC-0323,firewall_rule_open,data.eng,security.lead,Customer Support,Production troubleshooting for incident INC-999,2026-01-24,2026-06-05,ACTIVE,CRITICAL,
EXC-0324,admin_access,release.mgmt,it.director,Finance,Quarterly penetration test access window,2026-04-03,2026-04-21,ACTIVE,HIGH,
EXC-0325,firewall_rule_open,jack.clark,bob.jones,Sales,Integration with Partner Ltd API gateway,2025-11-05,2026-07-12,ACTIVE,MEDIUM,
EXC-0326,firewall_rule_open,sara.smith,bob.jones,Operations,Disaster recovery drill access,2026-03-19,2026-09-12,ACTIVE,MEDIUM,
EXC-0327,encryption_waiver,victor.taylor,manager.001,Data & Analytics,Legacy issue,2025-07-13,2026-11-19,ACTIVE,MEDIUM,
EXC-0328,data_access_exception,bob.davis,compliance.officer,HR,Short-term fix,2025-04-18,2025-07-14,EXPIRED,HIGH,
EXC-0329,dev_environment_exception,platform.eng,platform.lead,Security,Legacy system compatibility during migration to v536,2026-02-08,2026-03-26,REVOKED,LOW,
EXC-0330,background_check_pending,ravi.wilson,ciso.office,Security,Quarterly penetration test access window,2026-03-22,2026-08-07,ACTIVE,MEDIUM,
EXC-0331,encryption_waiver,victor.moore,security.lead,Operations,Database migration support for project 901,2025-07-06,2025-08-01,EXPIRED,HIGH,
EXC-0332,dev_environment_exception,jack.smith,security.lead,Security,Temporary issue,2025-11-24,2026-05-31,ACTIVE,LOW,
EXC-0333,encryption_waiver,dev.lead,compliance.officer,Security,Database migration support for project 110,2025-09-14,2026-05-01,ACTIVE,MEDIUM,
EXC-0334,firewall_rule_open,paul.davis,manager.001,Engineering,New hire onboarding pending background check completion,2025-07-10,2025-07-28,REVOKED,MEDIUM,
EXC-0335,firewall_rule_open,emma.jones,ciso.office,Security,Disaster recovery drill access,2025-11-04,2026-05-28,ACTIVE,CRITICAL,
EXC-0336,admin_access,bob.jones,ciso.office,Customer Support,Vendor SOC 2 audit data extraction,2025-10-09,2025-11-27,EXPIRED,HIGH,
EXC-0337,dev_environment_exception,noah.moore,alice.smith,HR,Operational requirement,2025-10-09,2026-01-18,RENEWAL_REQUESTED,LOW,2025-11-06
EXC-0338,dev_environment_exception,ops.team,ciso.office,Customer Support,Quarterly penetration test access window,2025-11-27,2025-12-31,ACTIVE,CRITICAL,
EXC-0339,background_check_pending,security.ops,it.director,Data & Analytics,Production troubleshooting for incident INC-593,2025-08-22,2026-04-29,ACTIVE,CRITICAL,
EXC-0340,data_access_exception,grace.chen,platform.lead,Security,Vendor SOC 2 audit data extraction,2026-01-07,2026-08-14,ACTIVE,HIGH,
EXC-0341,admin_access,emma.lewis,platform.lead,Legal,New hire onboarding pending background check completion,2026-01-08,2026-07-22,ACTIVE,HIGH,
EXC-0342,vendor_access_waiver,data.eng,manager.001,Sales,Temporary issue,2025-10-14,2025-11-16,EXPIRED,HIGH,
EXC-0343,admin_access,uma.lewis,alice.smith,Customer Support,Database migration support for project 480,2025-09-23,2025-12-09,REVOKED,HIGH,
EXC-0344,data_access_exception,data.eng,compliance.officer,Sales,Legacy system compatibility during migration to v155,2026-01-24,2026-04-18,RENEWAL_REQUESTED,HIGH,2026-03-05
EXC-0345,dev_environment_exception,security.ops,compliance.officer,Finance,Disaster recovery drill access,2026-03-13,2026-05-21,ACTIVE,LOW,
EXC-0346,dev_environment_exception,security.ops,ciso.office,Finance,New hire onboarding pending background check completion,2025-11-19,2026-02-17,RENEWAL_REQUESTED,LOW,2026-02-15
EXC-0347,encryption_waiver,release.mgmt,compliance.officer,Sales,Vendor SOC 2 audit data extraction,2025-10-18,2025-12-22,REVOKED,HIGH,
EXC-0348,data_access_exception,qa.team,manager.001,Operations,Short-term fix,2026-03-23,2026-04-19,ACTIVE,HIGH,
EXC-0349,firewall_rule_open,john.garcia,compliance.officer,Data & Analytics,Short-term fix,2025-12-03,2026-06-17,ACTIVE,CRITICAL,
EXC-0350,vendor_access_waiver,release.mgmt,ciso.office,HR,Production troubleshooting for incident INC-507,2025-08-18,2026-04-28,ACTIVE,CRITICAL,
EXC-0351,firewall_rule_open,olivia.patel,it.director,Legal,Emergency,2025-09-05,2027-01-03,ACTIVE,HIGH,
EXC-0352,admin_access,platform.eng,security.lead,HR,Database migration support for project 893,2026-01-04,2026-02-13,RENEWAL_REQUESTED,HIGH,2026-02-07
EXC-0353,dev_environment_exception,qa.team,security.lead,Legal,Quarterly penetration test access window,2025-11-19,2026-06-29,ACTIVE,LOW,
EXC-0354,vendor_access_waiver,infra.team,ciso.office,Data & Analytics,Vendor SOC 2 audit data extraction,2025-11-12,2026-04-23,ACTIVE,HIGH,
EXC-0355,firewall_rule_open,dave.chen,ciso.office,Operations,Emergency,2025-11-27,2026-04-27,ACTIVE,MEDIUM,
EXC-0356,dev_environment_exception,bob.patel,ciso.office,IT Infrastructure,Legacy system compatibility during migration to v234,2026-02-08,2026-06-10,ACTIVE,LOW,
EXC-0357,dev_environment_exception,john.smith,platform.lead,Legal,Database migration support for project 746,2026-03-19,2026-08-17,ACTIVE,LOW,
EXC-0358,vendor_access_waiver,ravi.taylor,ciso.office,Legal,New hire onboarding pending background check completion,2025-05-30,2025-08-08,REVOKED,HIGH,
EXC-0359,encryption_waiver,dave.davis,alice.smith,Engineering,Database migration support for project 406,2026-01-13,2026-04-15,ACTIVE,HIGH,
EXC-0360,admin_access,irene.chen,alice.smith,Customer Support,Short-term fix,2025-09-05,2026-11-02,ACTIVE,HIGH,
EXC-0361,vendor_access_waiver,leo.chen,ciso.office,Operations,Quarterly penetration test access window,2026-03-13,2026-09-03,ACTIVE,HIGH,
EXC-0362,data_access_exception,ops.team,security.lead,Finance,Vendor SOC 2 audit data extraction,2026-02-25,2026-08-24,ACTIVE,HIGH,
EXC-0363,admin_access,dev.lead,security.lead,Operations,Temporary issue,2025-11-25,2025-12-10,EXPIRED,HIGH,
EXC-0364,vendor_access_waiver,release.mgmt,manager.001,Legal,Database migration support for project 480,2025-05-01,2026-04-25,ACTIVE,HIGH,
EXC-0365,background_check_pending,dave.smith,ciso.office,Security,Short-term fix,2025-12-17,2026-09-03,ACTIVE,MEDIUM,
EXC-0366,firewall_rule_open,release.mgmt,manager.001,Engineering,Quarterly penetration test access window,2025-11-25,2026-07-08,ACTIVE,MEDIUM,
EXC-0367,encryption_waiver,dev.lead,bob.jones,HR,Quarterly penetration test access window,2025-10-16,2026-06-14,ACTIVE,HIGH,
EXC-0368,vendor_access_waiver,ops.team,manager.001,Security,Temporary issue,2025-09-03,2025-10-20,ACTIVE,HIGH,
EXC-0369,data_access_exception,john.smith,it.director,IT Infrastructure,Business need,2025-08-20,2025-09-09,ACTIVE,CRITICAL,
EXC-0370,admin_access,jack.smith,alice.smith,Legal,Vendor SOC 2 audit data extraction,2025-12-03,2026-08-28,ACTIVE,HIGH,
EXC-0371,background_check_pending,wendy.kumar,alice.smith,Security,Legacy system compatibility during migration to v356,2025-05-05,2025-07-20,REVOKED,MEDIUM,
EXC-0372,dev_environment_exception,release.mgmt,manager.001,IT Infrastructure,Legacy issue,2025-09-27,2025-12-09,REVOKED,LOW,
EXC-0373,background_check_pending,quinn.garcia,bob.jones,Customer Support,Legacy system compatibility during migration to v119,2026-01-07,2026-07-23,ACTIVE,MEDIUM,
EXC-0374,dev_environment_exception,sara.chen,platform.lead,Operations,Disaster recovery drill access,2025-07-21,2025-09-02,ACTIVE,CRITICAL,
EXC-0375,background_check_pending,sara.davis,platform.lead,Security,Integration with Partner Ltd API gateway,2025-06-03,2025-07-16,ACTIVE,HIGH,
EXC-0376,admin_access,dave.garcia,alice.smith,Sales,Temporary issue,2025-06-04,2025-06-22,REVOKED,HIGH,
EXC-0377,vendor_access_waiver,sara.brown,alice.smith,Legal,Short-term fix,2025-05-21,2025-06-05,EXPIRED,HIGH,
EXC-0378,vendor_access_waiver,bob.clark,alice.smith,Legal,Integration with Partner Ltd API gateway,2025-07-18,2026-07-12,ACTIVE,HIGH,
EXC-0379,background_check_pending,platform.eng,bob.jones,Operations,Disaster recovery drill access,2025-07-21,2025-08-28,EXPIRED,MEDIUM,
EXC-0380,dev_environment_exception,emma.taylor,bob.jones,IT Infrastructure,Vendor SOC 2 audit data extraction,2026-02-18,2026-06-12,ACTIVE,LOW,
EXC-0381,vendor_access_waiver,release.mgmt,platform.lead,Legal,Vendor SOC 2 audit data extraction,2025-10-22,2025-11-27,ACTIVE,CRITICAL,
EXC-0382,background_check_pending,sara.chen,manager.001,Security,Quarterly penetration test access window,2025-12-13,2026-03-10,RENEWAL_REQUESTED,MEDIUM,2026-02-18
EXC-0383,data_access_exception,dev.lead,ciso.office,IT Infrastructure,Temporary issue,2025-09-16,2025-09-30,REVOKED,HIGH,
EXC-0384,firewall_rule_open,security.ops,alice.smith,HR,Legacy issue,2025-04-24,2026-07-03,ACTIVE,HIGH,
EXC-0385,encryption_waiver,grace.chen,ciso.office,HR,Emergency,2026-01-31,2026-03-13,EXPIRED,HIGH,
EXC-0386,vendor_access_waiver,release.mgmt,security.lead,Data & Analytics,Integration with Partner Ltd API gateway,2025-12-23,2026-05-08,ACTIVE,CRITICAL,
EXC-0387,admin_access,ravi.moore,bob.jones,Engineering,Production troubleshooting for incident INC-749,2026-01-29,2026-08-23,ACTIVE,HIGH,
